Name,Quantity,Price,Discription,Category,Discount,Ingredients
Bakson's Y-Lax Tablet,bottle of 75 tablets,MRP₹200,"Bakson's Y-Lax Tablet
bottle of 75 tablets
",Homeopathy,,bottle of 75 tablets
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹90,"SBL Thuja Occidentalis Dilution 200 CH
bottle of 30 ml Dilution
",Homeopathy,10% off,bottle of 30 ml Dilution
Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,₹271,"Dr. Reckeweg R82 Anti Fungal Drop
bottle of 30 ml Drop
",Homeopathy,5% off,bottle of 30 ml Drop
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹271,"Dr. Reckeweg R89 Hair Care Drop
bottle of 30 ml Drop
",Homeopathy,5% off,bottle of 30 ml Drop
Dr Willmar Schwabe Germany Cineraria Maritima Eye Drop Homeopathic Medicine,bottle of 10 ml Eye Drop,₹190,"Dr Willmar Schwabe Germany Cineraria Maritima Eye Drop Homeopathic Medicine
bottle of 10 ml Eye Drop
",Homeopathy,5% off,bottle of 10 ml Eye Drop
Bjain Omeo Strength Drop,bottle of 30 ml Drop,₹281,"Bjain Omeo Strength Drop
bottle of 30 ml Drop
",Homeopathy,15% off,bottle of 30 ml Drop
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹183,"Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q
bottle of 30 ml Mother Tincture
",Homeopathy,6% off,bottle of 30 ml Mother Tincture
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,₹281,"Bjain Guatteria Gaumeri Drop
bottle of 30 ml Drop
",Homeopathy,15% off,bottle of 30 ml Drop
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R41 Sexual Neurasthenia Drop
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
Dr Willmar Schwabe Germany Biofungin Syrup,bottle of 250 ml Syrup,₹805,"Dr Willmar Schwabe Germany Biofungin Syrup
bottle of 250 ml Syrup
",Homeopathy,5% off,bottle of 250 ml Syrup
Bakson's Y-Lax Tablet,bottle of 200 tablets,₹430,"Bakson's Y-Lax Tablet
bottle of 200 tablets
",Homeopathy,6% off,bottle of 200 tablets
Bjain Omeo Diabetes Drop,bottle of 30 ml Drop,₹123,"Bjain Omeo Diabetes Drop
bottle of 30 ml Drop
",Homeopathy,4% off,bottle of 30 ml Drop
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,bottle of 10 ml Eye Drop,₹142,"Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop
bottle of 10 ml Eye Drop
",Homeopathy,5% off,bottle of 10 ml Eye Drop
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,₹347,"Dr Willmar Schwabe India Damiaplant Drop
bottle of 30 ml Drop
",Homeopathy,10% off,bottle of 30 ml Drop
Bhargava Spondin Drop,bottle of 30 ml Drop,₹162,"Bhargava Spondin Drop
bottle of 30 ml Drop
",Homeopathy,4% off,bottle of 30 ml Drop
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹149,"Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X
bottle of 20 gm Trituration Tablet
",Homeopathy,7% off,bottle of 20 gm Trituration Tablet
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹162,"Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X
bottle of 20 gm Biochemic Tablet
",Homeopathy,4% off,bottle of 20 gm Biochemic Tablet
Bakson's Aller Aid Tablet,bottle of 200 tablets,MRP₹460,"Bakson's Aller Aid Tablet
bottle of 200 tablets
",Homeopathy,,bottle of 200 tablets
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,₹87,"SBL Nux Vomica Dilution 30 CH
bottle of 30 ml Dilution
",Homeopathy,3% off,bottle of 30 ml Dilution
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,₹236,"Dr. Reckeweg R73 Joint Pain Drop
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
SBL Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹95,"SBL Berberis Vulgaris Mother Tincture Q
bottle of 30 ml Mother Tincture
",Homeopathy,5% off,bottle of 30 ml Mother Tincture
SBL Berberis Aquifolium Gel,tube of 25 gm Gel,MRP₹56,"SBL Berberis Aquifolium Gel
tube of 25 gm Gel
",Homeopathy,,tube of 25 gm Gel
Bakson's Homoeopathic Formula 'D' Tablet,bottle of 200 tablets,₹366,"Bakson's Homoeopathic Formula 'D' Tablet
bottle of 200 tablets
",Homeopathy,20% off,bottle of 200 tablets
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,₹221,"Dr. Reckeweg Berberis Vul Mother Tincture Q
bottle of 20 ml Mother Tincture
",Homeopathy,6% off,bottle of 20 ml Mother Tincture
SBL Calcarea Fluorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹90,"SBL Calcarea Fluorica Biochemic Tablet 6X
bottle of 25 gm Biochemic Tablet
",Homeopathy,5% off,bottle of 25 gm Biochemic Tablet
Bakson's Throat Aid Tablet,bottle of 75 tablets,₹173,"Bakson's Throat Aid Tablet
bottle of 75 tablets
",Homeopathy,6% off,bottle of 75 tablets
Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R13 Hemorrhoidal Drop
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
Bakson's Aller Aid Tablet,bottle of 75 tablets,MRP₹200,"Bakson's Aller Aid Tablet
bottle of 75 tablets
",Homeopathy,,bottle of 75 tablets
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,₹128,"SBL Arnica Montana Hair Oil with Tjc
bottle of 200 ml Oil
",Homeopathy,5% off,bottle of 200 ml Oil
Dr. Reckeweg R5 Stomach and Digestion Drop,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R5 Stomach and Digestion Drop
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
SBL Scalptone Tablet,bottle of 25 gm Tablet,₹133,"SBL Scalptone Tablet
bottle of 25 gm Tablet
",Homeopathy,5% off,bottle of 25 gm Tablet
SBL Clearstone Drop,bottle of 30 ml Drop,₹119,"SBL Clearstone Drop
bottle of 30 ml Drop
",Homeopathy,4% off,bottle of 30 ml Drop
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹95,"SBL Syzygium Jambolanum Mother Tincture Q
bottle of 30 ml Mother Tincture
",Homeopathy,5% off,bottle of 30 ml Mother Tincture
SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,₹92,"SBL Arnica Montana Dilution 200 CH
bottle of 30 ml Dilution
",Homeopathy,8% off,bottle of 30 ml Dilution
SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹124,"SBL Jaborandi Mother Tincture Q
bottle of 30 ml Mother Tincture
",Homeopathy,11% off,bottle of 30 ml Mother Tincture
Dr. Reckeweg R59 Weight Loss,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R59 Weight Loss
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine
bottle of 22 ml Drop
",Homeopathy,5% off,bottle of 22 ml Drop
SBL Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,₹76,"SBL Arsenicum Album Dilution 30 CH
bottle of 30 ml Dilution
",Homeopathy,15% off,bottle of 30 ml Dilution
Bakson's Throat Aid Tablet,bottle of 200 tablets,₹392,"Bakson's Throat Aid Tablet
bottle of 200 tablets
",Homeopathy,14% off,bottle of 200 tablets
SBL Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹91,"SBL Kali Phosphoricum Biochemic Tablet 6X
bottle of 25 gm Biochemic Tablet
",Homeopathy,4% off,bottle of 25 gm Biochemic Tablet
Bakson's Y-Lax Tablet,bottle of 75 tablets,MRP₹200,"Bakson's Y-Lax Tablet
bottle of 75 tablets
",Homeopathy,,bottle of 75 tablets
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹90,"SBL Thuja Occidentalis Dilution 200 CH
bottle of 30 ml Dilution
",Homeopathy,10% off,bottle of 30 ml Dilution
Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,₹271,"Dr. Reckeweg R82 Anti Fungal Drop
bottle of 30 ml Drop
",Homeopathy,5% off,bottle of 30 ml Drop
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹271,"Dr. Reckeweg R89 Hair Care Drop
bottle of 30 ml Drop
",moonsoon,5% off,bottle of 30 ml Drop
Dr Willmar Schwabe Germany Cineraria Maritima Eye Drop Homeopathic Medicine,bottle of 10 ml Eye Drop,₹190,"Dr Willmar Schwabe Germany Cineraria Maritima Eye Drop Homeopathic Medicine
bottle of 10 ml Eye Drop
",moonsoon,5% off,bottle of 10 ml Eye Drop
Bjain Omeo Strength Drop,bottle of 30 ml Drop,₹281,"Bjain Omeo Strength Drop
bottle of 30 ml Drop
",moonsoon,15% off,bottle of 30 ml Drop
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹183,"Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q
bottle of 30 ml Mother Tincture
",moonsoon,6% off,bottle of 30 ml Mother Tincture
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,₹281,"Bjain Guatteria Gaumeri Drop
bottle of 30 ml Drop
",moonsoon,15% off,bottle of 30 ml Drop
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,₹243,"Dr. Reckeweg R41 Sexual Neurasthenia Drop
bottle of 22 ml Drop
",moonsoon,2% off,bottle of 22 ml Drop
Dr Willmar Schwabe Germany Biofungin Syrup,bottle of 250 ml Syrup,₹805,"Dr Willmar Schwabe Germany Biofungin Syrup
bottle of 250 ml Syrup
",moonsoon,5% off,bottle of 250 ml Syrup
Bakson's Y-Lax Tablet,bottle of 200 tablets,₹430,"Bakson's Y-Lax Tablet
bottle of 200 tablets
",moonsoon,6% off,bottle of 200 tablets
Bjain Omeo Diabetes Drop,bottle of 30 ml Drop,₹125,"Bjain Omeo Diabetes Drop
bottle of 30 ml Drop
",moonsoon,3% off,bottle of 30 ml Drop
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,bottle of 10 ml Eye Drop,₹148,"Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop
bottle of 10 ml Eye Drop
",moonsoon,1% off,bottle of 10 ml Eye Drop
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,₹347,"Dr Willmar Schwabe India Damiaplant Drop
bottle of 30 ml Drop
",moonsoon,10% off,bottle of 30 ml Drop
Bhargava Spondin Drop,bottle of 30 ml Drop,₹162,"Bhargava Spondin Drop
bottle of 30 ml Drop
",moonsoon,4% off,bottle of 30 ml Drop
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹149,"Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X
bottle of 20 gm Trituration Tablet
",moonsoon,7% off,bottle of 20 gm Trituration Tablet
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹164,"Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X
bottle of 20 gm Biochemic Tablet
",moonsoon,3% off,bottle of 20 gm Biochemic Tablet
Bakson's Aller Aid Tablet,bottle of 200 tablets,MRP₹460,"Bakson's Aller Aid Tablet
bottle of 200 tablets
",moonsoon,,bottle of 200 tablets
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,₹87,"SBL Nux Vomica Dilution 30 CH
bottle of 30 ml Dilution
",moonsoon,3% off,bottle of 30 ml Dilution
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,₹236,"Dr. Reckeweg R73 Joint Pain Drop
bottle of 22 ml Drop
",moonsoon,5% off,bottle of 22 ml Drop
SBL Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹97,"SBL Berberis Vulgaris Mother Tincture Q
bottle of 30 ml Mother Tincture
",moonsoon,3% off,bottle of 30 ml Mother Tincture
SBL Berberis Aquifolium Gel,tube of 25 gm Gel,MRP₹56,"SBL Berberis Aquifolium Gel
tube of 25 gm Gel
",moonsoon,,tube of 25 gm Gel
Bakson's Homoeopathic Formula 'D' Tablet,bottle of 200 tablets,₹374,"Bakson's Homoeopathic Formula 'D' Tablet
bottle of 200 tablets
",moonsoon,18% off,bottle of 200 tablets
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,₹221,"Dr. Reckeweg Berberis Vul Mother Tincture Q
bottle of 20 ml Mother Tincture
",moonsoon,6% off,bottle of 20 ml Mother Tincture
SBL Calcarea Fluorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹94,"SBL Calcarea Fluorica Biochemic Tablet 6X
bottle of 25 gm Biochemic Tablet
",moonsoon,1% off,bottle of 25 gm Biochemic Tablet
Bakson's Throat Aid Tablet,bottle of 75 tablets,₹179,"Bakson's Throat Aid Tablet
bottle of 75 tablets
",moonsoon,3% off,bottle of 75 tablets
Bakson's Aller Aid Tablet,bottle of 75 tablets,MRP₹200,"Bakson's Aller Aid Tablet
bottle of 75 tablets
",moonsoon,,bottle of 75 tablets
Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,₹241,"Dr. Reckeweg R13 Hemorrhoidal Drop
bottle of 22 ml Drop
",moonsoon,3% off,bottle of 22 ml Drop
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,₹128,"SBL Arnica Montana Hair Oil with Tjc
bottle of 200 ml Oil
",moonsoon,5% off,bottle of 200 ml Oil
Dr. Reckeweg R5 Stomach and Digestion Drop,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R5 Stomach and Digestion Drop
bottle of 22 ml Drop
",moonsoon,5% off,bottle of 22 ml Drop
SBL Scalptone Tablet,bottle of 25 gm Tablet,₹135,"SBL Scalptone Tablet
bottle of 25 gm Tablet
",moonsoon,3% off,bottle of 25 gm Tablet
SBL Clearstone Drop,bottle of 30 ml Drop,₹119,"SBL Clearstone Drop
bottle of 30 ml Drop
",moonsoon,4% off,bottle of 30 ml Drop
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹95,"SBL Syzygium Jambolanum Mother Tincture Q
bottle of 30 ml Mother Tincture
",moonsoon,5% off,bottle of 30 ml Mother Tincture
SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,₹93,"SBL Arnica Montana Dilution 200 CH
bottle of 30 ml Dilution
",moonsoon,7% off,bottle of 30 ml Dilution
SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,"SBL Jaborandi Mother Tincture Q
bottle of 30 ml Mother Tincture
",moonsoon,10% off,bottle of 30 ml Mother Tincture
Dr. Reckeweg R59 Weight Loss,bottle of 22 ml Drop,₹241,"Dr. Reckeweg R59 Weight Loss
bottle of 22 ml Drop
",moonsoon,3% off,bottle of 22 ml Drop
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,₹237,"Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine
bottle of 22 ml Drop
",moonsoon,5% off,bottle of 22 ml Drop
SBL Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,₹76,"SBL Arsenicum Album Dilution 30 CH
bottle of 30 ml Dilution
",moonsoon,15% off,bottle of 30 ml Dilution
SBL Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹91,"SBL Kali Phosphoricum Biochemic Tablet 6X
bottle of 25 gm Biochemic Tablet
",moonsoon,4% off,bottle of 25 gm Biochemic Tablet
Bakson's Throat Aid Tablet,bottle of 200 tablets,₹404,"Bakson's Throat Aid Tablet
bottle of 200 tablets
",moonsoon,12% off,bottle of 200 tablets
Bakson's Y-Lax Tablet,bottle of 75 tablets,MRP₹200,"Bakson's Y-Lax Tablet
bottle of 75 tablets
",moonsoon,,bottle of 75 tablets
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹93,"SBL Thuja Occidentalis Dilution 200 CH
bottle of 30 ml Dilution
",moonsoon,7% off,bottle of 30 ml Dilution
Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,₹280,"Dr. Reckeweg R82 Anti Fungal Drop
bottle of 30 ml Drop
",moonsoon,1% off,bottle of 30 ml Drop
Evion 400mg Capsule,strip of 10 capsules,₹27,"Evion 400mg Capsule
strip of 10 capsules
",Ayurveda,17% off,strip of 10 capsules
Lacto Calamine Oil Balance Lotion Combination to Normal Skin,bottle of 120 ml Lotion,₹199,"Lacto Calamine Oil Balance Lotion Combination to Normal Skin
bottle of 120 ml Lotion
",Ayurveda,5% off,bottle of 120 ml Lotion
Dabur Honitus Hot Sip Ayurvedic Kaadha (4gm Each),packet of 30 Sachets,₹270,"Dabur Honitus Hot Sip Ayurvedic Kaadha (4gm Each)
packet of 30 Sachets
",Ayurveda,10% off,packet of 30 Sachets
Cofsils Lozenges Orange,strip of 10 lozenges,MRP₹30,"Cofsils Lozenges Orange
strip of 10 lozenges
",Ayurveda,,strip of 10 lozenges
Jiva Ashwagandha Tablet,bottle of 120 tablets,₹170,"Jiva Ashwagandha Tablet
bottle of 120 tablets
",Ayurveda,15% off,bottle of 120 tablets
Organic India Immunity Veg Capsule,bottle of 60 vegicaps,₹214,"Organic India Immunity Veg Capsule
bottle of 60 vegicaps
",Ayurveda,5% off,bottle of 60 vegicaps
Fast&Up Vitalize Multivitamin Effervescent Tablet Orange,combo pack of 60 Effervescent Tablet,₹866,"Fast&Up Vitalize Multivitamin Effervescent Tablet Orange
combo pack of 60 Effervescent Tablet
",Ayurveda,26% off,combo pack of 60 Effervescent Tablet
MuscleBlaze MB-Vite Multivitamin Tablet,bottle of 120 tablets,₹879,"MuscleBlaze MB-Vite Multivitamin Tablet
bottle of 120 tablets
",Ayurveda,26% off,bottle of 120 tablets
Navratna Cool Ayurvedic Oil,bottle of 300 ml Oil,₹171,"Navratna Cool Ayurvedic Oil
bottle of 300 ml Oil
",Ayurveda,10% off,bottle of 300 ml Oil
Jiva Henna Hair Care,box of 200 gm Powder,₹81,"Jiva Henna Hair Care
box of 200 gm Powder
",Ayurveda,4% off,box of 200 gm Powder
Himalaya Anti-Dandruff Shampoo,bottle of 400 ml Shampoo,₹242,"Himalaya Anti-Dandruff Shampoo
bottle of 400 ml Shampoo
",Ayurveda,7% off,bottle of 400 ml Shampoo
Himalaya Anti Hair Fall Cream,jar of 100 ml Cream,₹83,"Himalaya Anti Hair Fall Cream
jar of 100 ml Cream
",Ayurveda,7% off,jar of 100 ml Cream
HealthVit Top Gummy Vitamin C + Zinc Orange,bottle of 30 gummies,₹191,"HealthVit Top Gummy Vitamin C + Zinc Orange
bottle of 30 gummies
",Ayurveda,30% off,bottle of 30 gummies
Dettol Liquid Handwash Refill Original,packet of 750 ml Liquid,MRP₹109,"Dettol Liquid Handwash Refill Original
packet of 750 ml Liquid
",Ayurveda,,packet of 750 ml Liquid
Himalaya Damage Repair Protein Shampoo,bottle of 400 ml Shampoo,₹207,"Himalaya Damage Repair Protein Shampoo
bottle of 400 ml Shampoo
",Ayurveda,10% off,bottle of 400 ml Shampoo
Ensure Plus Vanilla Powder,jar of 1 kg Powder,₹1289,"Ensure Plus Vanilla Powder
jar of 1 kg Powder
",Ayurveda,3% off,jar of 1 kg Powder
Sugar Free Natura Low Calorie Sweetener Powder,jar of 1 kg Powder,₹855,"Sugar Free Natura Low Calorie Sweetener Powder
jar of 1 kg Powder
",Ayurveda,10% off,jar of 1 kg Powder
Saridon Tablet,strip of 10 tablets,₹37,"Saridon Tablet
strip of 10 tablets
",Ayurveda,4% off,strip of 10 tablets
New Follihair Tablet,bottle of 30 tablets,₹520,"New Follihair Tablet
bottle of 30 tablets
",Ayurveda,15% off,bottle of 30 tablets
Scalpe+ Expert Anti Dandruff Shampoo,bottle of 75 ml Shampoo,₹208,"Scalpe+ Expert Anti Dandruff Shampoo
bottle of 75 ml Shampoo
",Ayurveda,20% off,bottle of 75 ml Shampoo
Hairbless Tablet,strip of 10 tablets,₹182,"Hairbless Tablet
strip of 10 tablets
",Ayurveda,15% off,strip of 10 tablets
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹271,"Dr. Reckeweg R89 Hair Care Drop
bottle of 30 ml Drop
",Ayurveda,5% off,bottle of 30 ml Drop
Cofsils Lozenges Lemon Ginger,strip of 10 lozenges,MRP₹30,"Cofsils Lozenges Lemon Ginger
strip of 10 lozenges
",Ayurveda,,strip of 10 lozenges
Keraglo Eva Tablet,bottle of 30 tablets,₹528.5,"Keraglo Eva Tablet
bottle of 30 tablets
",Ayurveda,13% off,bottle of 30 tablets
Keraglo Men Tablet,bottle of 30 tablets,₹520,"Keraglo Men Tablet
bottle of 30 tablets
",Ayurveda,15% off,bottle of 30 tablets
Otrivin Oxy Fast Relief Adult Nasal Spray,bottle of 10 ml Nasal Spray,₹75,"Otrivin Oxy Fast Relief Adult Nasal Spray
bottle of 10 ml Nasal Spray
",Ayurveda,14% off,bottle of 10 ml Nasal Spray
"1mg Multivitamin Supreme Immunity Booster Zinc, Calcium and Vitamin D Capsule",bottle of 60 capsules,₹498,"1mg Multivitamin Supreme Immunity Booster Zinc, Calcium and Vitamin D Capsule
bottle of 60 capsules
",Ayurveda,50% off,bottle of 60 capsules
Evion 600mg Capsule,strip of 10 capsules,₹40,"Evion 600mg Capsule
strip of 10 capsules
",Ayurveda,15% off,strip of 10 capsules
Keraglo - AD Anti-Dandruff Shampoo,bottle of 75 ml Shampoo,₹309,"Keraglo - AD Anti-Dandruff Shampoo
bottle of 75 ml Shampoo
",Ayurveda,4% off,bottle of 75 ml Shampoo
Keraboost  Tablet,strip of 10 tablets,₹138,"Keraboost  Tablet
strip of 10 tablets
",Ayurveda,20% off,strip of 10 tablets
Charak Kofol Chewable Tablet Sugar Free,packet of 60 Chewable Tablets,₹33,"Charak Kofol Chewable Tablet Sugar Free
packet of 60 Chewable Tablets
",Ayurveda,28% off,packet of 60 Chewable Tablets
Crocin Pain Relief Tablet,strip of 15 tablets,MRP₹65.73,"Crocin Pain Relief Tablet
strip of 15 tablets
",Ayurveda,,strip of 15 tablets
Hamdard Roghan Baiza Murgh,bottle of 25 ml Oil,MRP₹35,"Hamdard Roghan Baiza Murgh
bottle of 25 ml Oil
",Ayurveda,,bottle of 25 ml Oil
Zandu Balm,bottle of 25 ml Balm,₹77,"Zandu Balm
bottle of 25 ml Balm
",Ayurveda,9% off,bottle of 25 ml Balm
H-Vit Biotin Tablet,strip of 10 tablets,₹40,"H-Vit Biotin Tablet
strip of 10 tablets
",Ayurveda,15% off,strip of 10 tablets
Odomos Naturals Mosquito Repellent Spray,pump bottle of 100 ml Spray,₹81,"Odomos Naturals Mosquito Repellent Spray
pump bottle of 100 ml Spray
",Ayurveda,10% off,pump bottle of 100 ml Spray
Bakson's Aller Aid Tablet,bottle of 200 tablets,MRP₹460,"Bakson's Aller Aid Tablet
bottle of 200 tablets
",Ayurveda,,bottle of 200 tablets
VB7 Hair Tablet,strip of 10 tablets,₹154,"VB7 Hair Tablet
strip of 10 tablets
",Ayurveda,12% off,strip of 10 tablets
Karvol Plus Capsule,strip of 10 capsules,₹65,"Karvol Plus Capsule
strip of 10 capsules
",Ayurveda,14% off,strip of 10 capsules
Nasoclear Saline Nasal Spray,bottle of 20 ml Nasal Spray,₹43,"Nasoclear Saline Nasal Spray
bottle of 20 ml Nasal Spray
",Ayurveda,15% off,bottle of 20 ml Nasal Spray
